scientific_name,phylogenetic_order,family,subfamily,genus,specific_epithet,authorship,english_name,taxon_comments,habitats_directive,spec_status,edge_of_range
Hesperia comma,24,Hesperiidae,Hesperiinae,Hesperia,comma,"(Linnaeus, 1758)",Silver-spotted Skipper,,,SPEC3,
Heteropterus morpheus,16,Hesperiidae,Heteropterinae,Heteropterus,morpheus,"(Pallas, 1771)",Large Chequered Skipper,,,,
Hipparchia aristaeus,386,Nymphalidae,Satyrinae,Hipparchia,aristaeus,"(Bonelli, 1826)",Southern Grayling,,,,
Hipparchia autonoe,375,Nymphalidae,Satyrinae,Hipparchia,autonoe,"(Esper, 1783)",suggestion:,,,,
Hipparchia azorina,381,Nymphalidae,Satyrinae,Hipparchia,azorina,"(Strecker, 1899)",Azores Grayling,,,,
Hipparchia bacchus,369,Nymphalidae,Satyrinae,Hipparchia,bacchus,"(Higgins, 1967)",El Hierro Grayling,,,SPEC1,
Hipparchia blachieri,385,Nymphalidae,Satyrinae,Hipparchia,blachieri,"(Fruhstorfer, 1908)",Sicilian Grayling,,,,
Hipparchia christenseni,394,Nymphalidae,Satyrinae,Hipparchia,christenseni,"Kudrna, 1977",Karpathos Grayling,,,,
Hipparchia cretica,393,Nymphalidae,Satyrinae,Hipparchia,cretica,"(Rebel, 1916)",Cretan Grayling,,,,
Hipparchia cypriensis,392,Nymphalidae,Satyrinae,Hipparchia,cypriensis,"(Holik, 1949)",Cyprus Grayling,,,,
Hipparchia fagi,378,Nymphalidae,Satyrinae,Hipparchia,fagi,"(Scopoli, 1763)",Woodland Grayling,,,SPEC2,
Hipparchia fatua,366,Nymphalidae,Satyrinae,Hipparchia,fatua,"Freyer, 1843",Freyer's Grayling,,,,
Hipparchia fidia,373,Nymphalidae,Satyrinae,Hipparchia,fidia,"(Linnaeus, 1767)",Striped Grayling,,,,
Hipparchia gomera,372,Nymphalidae,Satyrinae,Hipparchia,gomera,"(Higgins, 1967)",,suggestion: La Gomera Grayling,,,
Hipparchia hermione,376,Nymphalidae,Satyrinae,Hipparchia,hermione,"(Linnaeus, 1764)",Rock Grayling,,,SPEC2,
Hipparchia leighebi,389,Nymphalidae,Satyrinae,Hipparchia,leighebi,"Kudrna, 1976",Eolian Grayling,,,SPEC2,
Hipparchia maderensis,383,Nymphalidae,Satyrinae,Hipparchia,maderensis,"(Bethune-Baker, 1891)",Madeirean Grayling,,,SPEC3,
Hipparchia mersina,379,Nymphalidae,Satyrinae,Hipparchia,mersina,"(Staudinger, 1871)",Samos Grayling,,,,EoR
Hipparchia miguelensis,380,Nymphalidae,Satyrinae,Hipparchia,miguelensis,"(Le Cerf, 1935)",Le Cerf's Grayling,,,,
Hipparchia neapolitana,388,Nymphalidae,Satyrinae,Hipparchia,neapolitana,"(Stauder, 1921)",Italian Grayling,,,,
Hipparchia neomiris,374,Nymphalidae,Satyrinae,Hipparchia,neomiris,"(Godart, 1823)",Corsican Grayling,,,,
Hipparchia pellucida,390,Nymphalidae,Satyrinae,Hipparchia,pellucida,"(Stauder, 1924)",Lesbos Grayling,,,,EoR
Hipparchia sbordonii,391,Nymphalidae,Satyrinae,Hipparchia,sbordonii,"Kudrna, 1984",Ponza Grayling,,,SPEC2,
Hipparchia semele,384,Nymphalidae,Satyrinae,Hipparchia,semele,"(Linnaeus, 1758)",Grayling,,,,
Hipparchia senthes,382,Nymphalidae,Satyrinae,Hipparchia,senthes,"(Fruhstorfer, 1908)",Balkan Grayling,,,,
Hipparchia statilinus,367,Nymphalidae,Satyrinae,Hipparchia,statilinus,"(Hufnagel, 1766)",Tree Grayling,,,SPEC2,
Hipparchia syriaca,377,Nymphalidae,Satyrinae,Hipparchia,syriaca,"(Staudinger, 1871)",Eastern Rock Grayling,,,,
Hipparchia tamadabae,371,Nymphalidae,Satyrinae,Hipparchia,tamadabae,"Owen & Smith, 1992",,suggestion: Gran Canaria Grayling,,,
Hipparchia tilosi,368,Nymphalidae,Satyrinae,Hipparchia,tilosi,"Manil, 1984",,suggestion: La Palma Grayling,,SPEC1,
Hipparchia volgensis,387,Nymphalidae,Satyrinae,Hipparchia,volgensis,"(Mazokhin-Porshnyakov, 1952)",Delattin's Grayling,,,,
Hipparchia wyssii,370,Nymphalidae,Satyrinae,Hipparchia,wyssii,"(Christ, 1889)",Tenerife Grayling,,,,
Hypolimnas misippus,305,Nymphalidae,Nymphalinae,Hypolimnas,misippus,"(Linnaeus, 1764)",False Plain Tiger,,,,EoR
Hyponephele huebneri,426,Nymphalidae,Satyrinae,Hyponephele,huebneri,"Koçak, 1980",suggestion:,,,,EoR
Hyponephele lupina,428,Nymphalidae,Satyrinae,Hyponephele,lupina,"(Costa, 1836)",Oriental Meadow Brown,,,,
Hyponephele lycaon,427,Nymphalidae,Satyrinae,Hyponephele,lycaon,"(Kühn, 1774)",Dusky Steppe Brown,,,SPEC3,
Iolana debilitata,176,Lycaenidae,Polyommatinae,Iolana,debilitata,"(Schultz, 1905)",suggestion: Spanish Iolas Blue,,,,
Iolana iolas,175,Lycaenidae,Polyommatinae,Iolana,iolas,"(Ochsenheimer, 1816)",Iolas Blue,,,SPEC2,
Iphiclides feisthamelii,2,Papilionidae,Papilioninae,Iphiclides,feisthamelii,"(Duponchel, 1832)",Iberian Scarce Swallowtail,,,,
Iphiclides podalirius,1,Papilionidae,Papilioninae,Iphiclides,podalirius,"(Linnaeus, 1758)",Scarce Swallowtail,,,,
Issoria eugenia,257,Nymphalidae,Heliconiinae,Issoria,eugenia,"(Eversmann, 1847)",suggestion:,,,,EoR
Issoria lathonia,256,Nymphalidae,Heliconiinae,Issoria,lathonia,"(Linnaeus, 1758)",Queen of Spain Fritillary,,,,
Kirinia climene,348,Nymphalidae,Satyrinae,Kirinia,climene,"(Esper, 1783)",Lesser Lattice Brown,,,,
Kirinia roxelana,347,Nymphalidae,Satyrinae,Kirinia,roxelana,"(Cramer, 1777)",Lattice Brown,,,,
Kretania eurypilus,206,Lycaenidae,Polyommatinae,Kretania,eurypilus,"(Freyer, 1851)",Eastern Brown Argus,,,,EoR
Kretania hesperica,205,Lycaenidae,Polyommatinae,Kretania,hesperica,"(Rambur, 1839)",Spanish Zephyr Blue,,,SPEC4,
Kretania psylorita,204,Lycaenidae,Polyommatinae,Kretania,psylorita,"(Freyer, 1845)",Cretan Argus,,,,
Kretania pylaon,209,Lycaenidae,Polyommatinae,Kretania,pylaon,"(Fischer, 1832)",Fischer's Blue,,,SPEC2,
Kretania sephirus,208,Lycaenidae,Polyommatinae,Kretania,sephirus,"(Frivaldszky, 1835)",Zephyr Blue,,,SPEC4,
Kretania trappi,207,Lycaenidae,Polyommatinae,Kretania,trappi,"(Verity, 1927)",Alpine Zephyr Blue,,,SPEC2,
Laeosopis roboris,137,Lycaenidae,Theclinae,Laeosopis,roboris,"(Esper, 1789)",Spanish Purple Hairstreak,,,,
Lampides boeticus,157,Lycaenidae,Polyommatinae,Lampides,boeticus,"(Linnaeus, 1767)",Long-tailed Blue,,,,
Lasiommata deidamia,354,Nymphalidae,Satyrinae,Lasiommata,deidamia,"(Eversmann, 1851)",suggestion:,,,,EoR
Lasiommata maera,353,Nymphalidae,Satyrinae,Lasiommata,maera,"(Linnaeus, 1758)",Large Wall Brown,,,,
Lasiommata megera,357,Nymphalidae,Satyrinae,Lasiommata,megera,"(Linnaeus, 1767)",Wall Brown,,,,
Lasiommata paramegaera,356,Nymphalidae,Satyrinae,Lasiommata,paramegaera,"(Hübner, 1824)",Corsican Wall Brown,,,,
Lasiommata petropolitana,355,Nymphalidae,Satyrinae,Lasiommata,petropolitana,"(Fabricius, 1787)",Northern Wall Brown,,,,
Leptidea duponcheli,63,Pieridae,Dismorphiinae,Leptidea,duponcheli,"(Staudinger, 1871)",Eastern Wood White,,,,
Leptidea juvernica,65,Pieridae,Dismorphiinae,Leptidea,juvernica,"Williams, 1946",Cryptic Wood White,,,,
Leptidea morsei,64,Pieridae,Dismorphiinae,Leptidea,morsei,"(Fenton, 1882)",Fenton's Wood White,,II+IV,SPEC2,
Leptidea reali,67,Pieridae,Dismorphiinae,Leptidea,reali,"Reissinger, 1990",Réal's Wood White,,,,
Leptidea sinapis,66,Pieridae,Dismorphiinae,Leptidea,sinapis,"(Linnaeus, 1758)",Wood White,,,,
Leptotes pirithous,153,Lycaenidae,Polyommatinae,Leptotes,pirithous,"(Linnaeus, 1767)",Lang's Short-tailed Blue,,,,
Libythea celtis,328,Nymphalidae,Libytheinae,Libythea,celtis,"(Laicharting, 1782)",Nettle-tree Butterfly,,,,
Limenitis camilla,255,Nymphalidae,Limenitidinae,Limenitis,camilla,"(Linnaeus, 1764)",White Admiral,,,,
Limenitis populi,254,Nymphalidae,Limenitidinae,Limenitis,populi,"(Linnaeus, 1758)",Poplar Admiral,,,,
Limenitis reducta,253,Nymphalidae,Limenitidinae,Limenitis,reducta,"Staudinger, 1901",Southern White Admiral,,,,
Lopinga achine,349,Nymphalidae,Satyrinae,Lopinga,achine,"(Scopoli, 1763)",Woodland Brown,,IV,SPEC1,
Luthrodes galba,189,Lycaenidae,Polyommatinae,Luthrodes,galba,"(Lederer, 1855)",Small Desert Blue,,,,EoR
Lycaena alciphron,123,Lycaenidae,Lycaeninae,Lycaena,alciphron,"(Rottemburg, 1775)",Purple-shot Copper,,,,
Lycaena bleusei,130,Lycaenidae,Lycaeninae,Lycaena,bleusei,"(Oberthür, 1884)",Iberian Sooty Copper,,,,
Lycaena candens,128,Lycaenidae,Lycaeninae,Lycaena,candens,"(Herrich-Schäffer, 1844)",Balkan Copper,,,,
Lycaena dimorpha,121,Lycaenidae,Lycaeninae,Lycaena,dimorpha,"(Staudinger, 1881)",suggestion:,,,,EoR
Lycaena dispar,126,Lycaenidae,Lycaeninae,Lycaena,dispar,"([Haworth], 1802)",Large Copper,,II+IV,,
Lycaena helle,122,Lycaenidae,Lycaeninae,Lycaena,helle,"([Denis & Schiffermüller], 1775)",Violet Copper,,II+IV,SPEC1,
Lycaena hippothoe,127,Lycaenidae,Lycaeninae,Lycaena,hippothoe,"(Linnaeus, 1760)",Purple-edged Copper,,,SPEC3,
Lycaena ottomana,129,Lycaenidae,Lycaeninae,Lycaena,ottomana,"(Lefèbvre, 1831)",Grecian Copper,,,,
Lycaena phlaeas,131,Lycaenidae,Lycaeninae,Lycaena,phlaeas,"(Linnaeus, 1760)",Small Copper,,,,
Lycaena thersamon,125,Lycaenidae,Lycaeninae,Lycaena,thersamon,"(Esper, 1784)",Lesser Fiery Copper,,,SPEC3,
Lycaena thetis,124,Lycaenidae,Lycaeninae,Lycaena,thetis,"Klug, 1834",Fiery Copper,,,,EoR
Lycaena tityrus,133,Lycaenidae,Lycaeninae,Lycaena,tityrus,"(Poda, 1761)",Sooty Copper,,,,
Lycaena virgaureae,132,Lycaenidae,Lycaeninae,Lycaena,virgaureae,"(Linnaeus, 1758)",Scarce Copper,,,,
Lysandra albicans,225,Lycaenidae,Polyommatinae,Lysandra,albicans,"(Gerhard, 1851)",Spanish Chalkhill Blue,,,,
Lysandra bellargus,222,Lycaenidae,Polyommatinae,Lysandra,bellargus,"(Rottemburg, 1775)",Adonis Blue,,,,
Lysandra caelestissima,224,Lycaenidae,Polyommatinae,Lysandra,caelestissima,"(Verity, 1921)",Azure Chalkhill Blue,,,,
Lysandra coridon,223,Lycaenidae,Polyommatinae,Lysandra,coridon,"(Poda, 1761)",Chalkhill Blue,,,,
Lysandra corydonius,221,Lycaenidae,Polyommatinae,Lysandra,corydonius,"(Herrich-Schäffer, 1852)",Caucasian Blue,,,,
Lysandra hispana,220,Lycaenidae,Polyommatinae,Lysandra,hispana,"(Herrich-Schäffer, 1851)",Provence Chalkhill Blue,,,,
Maniola chia,435,Nymphalidae,Satyrinae,Maniola,chia,"Thomson, 1987",Chios Meadow Brown,,,,
Maniola cypricola,437,Nymphalidae,Satyrinae,Maniola,cypricola,"(Graves, 1928)",Cyprus Meadow Brown,,,,
Maniola halicarnassus,439,Nymphalidae,Satyrinae,Maniola,halicarnassus,"Thomson, 1990",Thomson's Meadow Brown,,,SPEC2,
Maniola jurtina,433,Nymphalidae,Satyrinae,Maniola,jurtina,"(Linnaeus, 1758)",Meadow Brown,,,,
Maniola megala,436,Nymphalidae,Satyrinae,Maniola,megala,"(Oberthür, 1909)",Turkish Meadow Brown,,,,EoR
Maniola nurag,434,Nymphalidae,Satyrinae,Maniola,nurag,"(Ghiliani, 1852)",Sardinian Meadow Brown,,,,
Maniola telmessia,438,Nymphalidae,Satyrinae,Maniola,telmessia,"(Zeller, 1847)",Aegean Meadow Brown,,,,
Melanargia arge,363,Nymphalidae,Satyrinae,Melanargia,arge,"(Sulzer, 1776)",Italian Marbled White,,II+IV,,
Melanargia galathea,361,Nymphalidae,Satyrinae,Melanargia,galathea,"(Linnaeus, 1758)",Marbled White,,,,
Melanargia ines,362,Nymphalidae,Satyrinae,Melanargia,ines,"(Hoffmansegg, 1804)",Spanish Marbled White,,,,
Melanargia lachesis,360,Nymphalidae,Satyrinae,Melanargia,lachesis,"(Hübner, 1790)",Iberian Marbled White,,,,
Melanargia larissa,359,Nymphalidae,Satyrinae,Melanargia,larissa,"(Geyer, 1828)",Balkan Marbled White,,,,
Melanargia occitanica,365,Nymphalidae,Satyrinae,Melanargia,occitanica,"(Esper, 1793)",Western Marbled White,,,SPEC3,
Melanargia pherusa,364,Nymphalidae,Satyrinae,Melanargia,pherusa,"(Boisduval, 1833)",Sicilian Marbled White,,,,
Melanargia russiae,358,Nymphalidae,Satyrinae,Melanargia,russiae,"(Esper, 1783)",Esper's Marbled White,,,,
Melitaea aetherie,315,Nymphalidae,Melitaeinae,Melitaea,aetherie,"(Hübner, 1826)",Aetherie Fritillary,,,,
Melitaea arduinna,314,Nymphalidae,Melitaeinae,Melitaea,arduinna,"(Esper, 1783)",Freyer's Fritillary,,,,
Melitaea asteria,327,Nymphalidae,Melitaeinae,Melitaea,asteria,"Freyer, 1828",Little Fritillary,,,SPEC3,
Melitaea athalia,323,Nymphalidae,Melitaeinae,Melitaea,athalia,"(Rottemburg, 1775)",Heath Fritillary,,,,
Melitaea aurelia,326,Nymphalidae,Melitaeinae,Melitaea,aurelia,"Nickerl, 1850",Nickerl's Fritillary,,,SPEC2,
Melitaea britomartis,322,Nymphalidae,Melitaeinae,Melitaea,britomartis,"Assmann, 1847",Assmann's Fritillary,,,SPEC2,
Melitaea celadussa,320,Nymphalidae,Melitaeinae,Melitaea,celadussa,"Fruhstorfer, 1910",Oberthür's Fritillary,,,,
Melitaea cinxia,318,Nymphalidae,Melitaeinae,Melitaea,cinxia,"(Linnaeus, 1758)",Glanville Fritillary,,,,
Melitaea deione,321,Nymphalidae,Melitaeinae,Melitaea,deione,"(Geyer, 1832)",Provençal Fritillary,,,,
Melitaea diamina,319,Nymphalidae,Melitaeinae,Melitaea,diamina,"(Lang, 1789)",False Heath Fritillary,,,,
Melitaea didyma,313,Nymphalidae,Melitaeinae,Melitaea,didyma,"(Esper, 1778)",Spotted Fritillary,,,,
Melitaea ornata,317,Nymphalidae,Melitaeinae,Melitaea,ornata,"Christoph, 1893",Eastern Knapweed Fritillary,,,,
Melitaea parthenoides,325,Nymphalidae,Melitaeinae,Melitaea,parthenoides,"Keferstein, 1851",Meadow Fritillary,,,SPEC4,
Melitaea phoebe,316,Nymphalidae,Melitaeinae,Melitaea,phoebe,"([Denis & Schiffermüller], 1775)",Knapweed Fritillary,,,,
Melitaea trivia,312,Nymphalidae,Melitaeinae,Melitaea,trivia,"([Denis & Schiffermüller], 1775)",Lesser Spotted Fritillary,,,,
Melitaea varia,324,Nymphalidae,Melitaeinae,Melitaea,varia,"Herrich-Schäffer, 1851",Grisons Fritillary,,,,
Minois dryas,395,Nymphalidae,Satyrinae,Minois,dryas,"(Scopoli, 1763)",Dryad,,,,
Muschampia cribrellum,37,Hesperiidae,Pyrginae,Muschampia,cribrellum,"(Eversmann, 1841)",Spinose Skipper,,,SPEC2,
Muschampia proto,39,Hesperiidae,Pyrginae,Muschampia,proto,"(Ochsenheimer, 1808)",Sage Skipper,,,,
Muschampia tessellum,38,Hesperiidae,Pyrginae,Muschampia,tessellum,"(Hübner, 1803)",Tesselated Skipper,,,,
Neolycaena rhymnus,145,Lycaenidae,Theclinae,Neolycaena,rhymnus,"(Eversmann, 1832)",suggestion:,,,SPEC3,
Neolysandra coelestina,219,Lycaenidae,Polyommatinae,Neolysandra,coelestina,"(Eversmann, 1843)",Pontic Blue,,,,EoR
Neptis rivularis,252,Nymphalidae,Limenitidinae,Neptis,rivularis,"(Scopoli, 1763)",Hungarian Glider,,,,
Neptis sappho,251,Nymphalidae,Limenitidinae,Neptis,sappho,"(Pallas, 1771)",Common Glider,,,,
Nymphalis antiopa,304,Nymphalidae,Nymphalinae,Nymphalis,antiopa,"(Linnaeus, 1758)",Camberwell Beauty,,,,
Nymphalis polychloros,302,Nymphalidae,Nymphalinae,Nymphalis,polychloros,"(Linnaeus, 1758)",Large Tortoiseshell,,,,
Nymphalis vaualbum,301,Nymphalidae,Nymphalinae,Nymphalis,vaualbum,"([Denis & Schiffermüller], 1775)",False Comma,,II+IV,SPEC3,
Nymphalis xanthomelas,303,Nymphalidae,Nymphalinae,Nymphalis,xanthomelas,"(Esper, 1781)",Yellow-legged Tortoiseshell,,,,
Ochlodes sylvanus,23,Hesperiidae,Hesperiinae,Ochlodes,sylvanus,"(Esper, 1777)",Large Skipper,,,,
Oeneis ammon,400,Nymphalidae,Satyrinae,Oeneis,ammon,"Elwes, 1899",suggestion:,,,,EoR
Oeneis bore,399,Nymphalidae,Satyrinae,Oeneis,bore,"(Schneider, 1792)",Arctic Grayling,,,SPEC4,
Oeneis glacialis,406,Nymphalidae,Satyrinae,Oeneis,glacialis,"(Moll, 1785)",Alpine Grayling,,,,
Oeneis jutta,403,Nymphalidae,Satyrinae,Oeneis,jutta,"(Hübner, 1806)",Baltic Grayling,,,SPEC4,
Oeneis magna,402,Nymphalidae,Satyrinae,Oeneis,magna,"Graeser, 1888",suggestion:,,,,EoR
Oeneis melissa,401,Nymphalidae,Satyrinae,Oeneis,melissa,"(Fabricius, 1775)",Melissa Arctic,,,,EoR
Oeneis norna,404,Nymphalidae,Satyrinae,Oeneis,norna,"(Thunberg, 1791)",Norse Grayling,,,SPEC2,
Oeneis polixenes,405,Nymphalidae,Satyrinae,Oeneis,polixenes,"(Fabricius, 1775)",Polixenes arctic,,,,EoR
Oeneis tarpeia,398,Nymphalidae,Satyrinae,Oeneis,tarpeia,"(Pallas, 1771)",suggestion:,,,,
Papilio alexanor,3,Papilionidae,Papilioninae,Papilio,alexanor,"Esper, 1800",Southern Swallowtail,,IV,SPEC3,
Papilio hospiton,5,Papilionidae,Papilioninae,Papilio,hospiton,"Gené, 1839",Corsican Swallowtail,,II+IV,,
Papilio machaon,4,Papilionidae,Papilioninae,Papilio,machaon,"Linnaeus, 1758",Swallowtail,,,,
Pararge aegeria,352,Nymphalidae,Satyrinae,Pararge,aegeria,"(Linnaeus, 1758)",Speckled Wood,,,,
Pararge xiphia,350,Nymphalidae,Satyrinae,Pararge,xiphia,"(Fabricius, 1775)",Madeiran Speckled Wood,,,SPEC1,
Pararge xiphioides,351,Nymphalidae,Satyrinae,Pararge,xiphioides,"Staudinger, 1871",Canary Speckled Wood,,,,
Parnassius apollo,8,Papilionidae,Parnassiinae,Parnassius,apollo,"(Linnaeus, 1758)",Apollo,,IV,SPEC2,
Parnassius mnemosyne,6,Papilionidae,Parnassiinae,Parnassius,mnemosyne,"(Linnaeus, 1758)",Clouded Apollo,,IV,SPEC2,
Parnassius phoebus,7,Papilionidae,Parnassiinae,Parnassius,phoebus,"(Fabricius, 1793)",Small Apollo,,,SPEC2,
Pelopidas thrax,19,Hesperiidae,Hesperiinae,Pelopidas,thrax,"(Hübner, 1821)",Millet Skipper,,,,EoR
Phengaris alcon,162,Lycaenidae,Polyommatinae,Phengaris,alcon,"([Denis & Schiffermüller], 1775)",Alcon Blue,,,SPEC3,
Phengaris arion,163,Lycaenidae,Polyommatinae,Phengaris,arion,"(Linnaeus, 1758)",Large Blue,,IV,SPEC1,
Phengaris nausithous,165,Lycaenidae,Polyommatinae,Phengaris,nausithous,"(Bergsträsser, 1779)",Dusky Large Blue,,II+IV,SPEC2,
Phengaris teleius,164,Lycaenidae,Polyommatinae,Phengaris,teleius,"(Bergsträsser, 1779)",Scarce Large Blue,,II+IV,SPEC1,
Pieris balcana,101,Pieridae,Pierinae,Pieris,balcana,"Lorković, 1969",Balkan Green-veined White,,,,
Pieris brassicae,93,Pieridae,Pierinae,Pieris,brassicae,"(Linnaeus, 1758)",Large White,,,,
Pieris bryoniae,99,Pieridae,Pierinae,Pieris,bryoniae,"(Hübner, 1806)",Mountain Green-veined White,,,,
Pieris cheiranthi,95,Pieridae,Pierinae,Pieris,cheiranthi,"(Hübner, 1808)",Canary Islands Large White,,,SPEC1,
Pieris ergane,98,Pieridae,Pierinae,Pieris,ergane,"(Geyer, 1828)",Mountain Small White,,,,
Pieris krueperi,92,Pieridae,Pierinae,Pieris,krueperi,"Staudinger, 1860",Krueper's Small White,,,,
Pieris mannii,97,Pieridae,Pierinae,Pieris,mannii,"(Mayer, 1851)",Southern Small White,,,,
Pieris napi,100,Pieridae,Pierinae,Pieris,napi,"(Linnaeus, 1758)",Green-veined White,,,,
Pieris rapae,96,Pieridae,Pierinae,Pieris,rapae,"(Linnaeus, 1758)",Small White,,,,
Pieris wollastoni,94,Pieridae,Pierinae,Pieris,wollastoni,"(Butler, 1886)",Madeiran Large White,,,SPEC1,
Plebejidea loewii,202,Lycaenidae,Polyommatinae,Plebejidea,loewii,"(Zeller, 1847)",Loew's Blue,,,,EoR
Plebejus argus,191,Lycaenidae,Polyommatinae,Plebejus,argus,"(Linnaeus, 1758)",Silver-studded Blue,,,,
Plebejus argyrognomon,194,Lycaenidae,Polyommatinae,Plebejus,argyrognomon,"(Bergsträsser, 1779)",Reverdin's Blue,,,,
Plebejus bellieri,193,Lycaenidae,Polyommatinae,Plebejus,bellieri,"(Oberthür, 1910)",Bellier's Blue,,,,
Plebejus idas,192,Lycaenidae,Polyommatinae,Plebejus,idas,"(Linnaeus, 1760)",Idas Blue,,,,
Polygonia c-album,300,Nymphalidae,Nymphalinae,Polygonia,c-album,"(Linnaeus, 1758)",Comma,,,,
Polygonia egea,299,Nymphalidae,Nymphalinae,Polygonia,egea,"(Cramer, 1775)",Southern Comma,,,,
Polyommatus admetus,239,Lycaenidae,Polyommatinae,Polyommatus,admetus,"(Esper, 1783)",Anomalous Blue,,,,
Polyommatus amandus,229,Lycaenidae,Polyommatinae,Polyommatus,amandus,"(Schneider, 1792)",Amanda's Blue,,,,
Polyommatus aroaniensis,250,Lycaenidae,Polyommatinae,Polyommatus,aroaniensis,"(Brown, 1976)",Grecian Anomalous Blue,,,,
Polyommatus celina,233,Lycaenidae,Polyommatinae,Polyommatus,celina,"(Austaut, 1879)",Austaut's Blue,,,,
Polyommatus damocles,238,Lycaenidae,Polyommatinae,Polyommatus,damocles,"(Herrich-Schäffer, 1844)",suggestion:,,,,
Polyommatus damon,236,Lycaenidae,Polyommatinae,Polyommatus,damon,"([Denis & Schiffermüller], 1775)",Damon Blue,,,SPEC2,
Polyommatus damone,237,Lycaenidae,Polyommatinae,Polyommatus,damone,"(Eversmann, 1841)",Crimean Blue,,,,EoR
Polyommatus daphnis,228,Lycaenidae,Polyommatinae,Polyommatus,daphnis,"([Denis & Schiffermüller], 1775)",Meleager's Blue,,,,
Polyommatus dolus,246,Lycaenidae,Polyommatinae,Polyommatus,dolus,"(Hübner, 1823)",Furry Blue,,,,
Polyommatus dorylas,232,Lycaenidae,Polyommatinae,Polyommatus,dorylas,"([Denis & Schiffermüller], 1775)",Turqouise Blue,,,SPEC2,
Polyommatus eros,235,Lycaenidae,Polyommatinae,Polyommatus,eros,"(Ochsenheimer, 1808)",Eros Blue,,,SPEC2,
Polyommatus escheri,226,Lycaenidae,Polyommatinae,Polyommatus,escheri,"(Hübner, 1823)",Escher's Blue,,,,
Polyommatus fabressei,245,Lycaenidae,Polyommatinae,Polyommatus,fabressei,"(Oberthür, 1910)",Oberthür's Anomalous Blue,,,,
Polyommatus fulgens,244,Lycaenidae,Polyommatinae,Polyommatus,fulgens,"(Sagarra, 1925)",Catalonian Furry Blue,,,,
Polyommatus golgus,230,Lycaenidae,Polyommatinae,Polyommatus,golgus,"(Hübner, 1813)",Nevada Blue,,II+IV,SPEC1,
Polyommatus humedasae,247,Lycaenidae,Polyommatinae,Polyommatus,humedasae,"(Toso & Balletto, 1976)",Piedmont Anomalous Blue,,,SPEC1,
Polyommatus icarus,234,Lycaenidae,Polyommatinae,Polyommatus,icarus,"(Rottemburg, 1775)",Common Blue,,,,
Polyommatus iphigenia,242,Lycaenidae,Polyommatinae,Polyommatus,iphigenia,"(Herrich-Schäffer, 1847)",Chelmos Blue,,,,EoR
Polyommatus nephohiptamenos,241,Lycaenidae,Polyommatinae,Polyommatus,nephohiptamenos,"(Brown & Coutsis, 1978)",Higgins' Anomalous Blue,,,SPEC2,
Polyommatus nivescens,231,Lycaenidae,Polyommatinae,Polyommatus,nivescens,"(Keferstein, 1851)",Mother-of-pearl Blue,,,SPEC2,
Polyommatus orphicus,249,Lycaenidae,Polyommatinae,Polyommatus,orphicus,"Kolev, 2005",Kolev's Anomalous Blue,,,SPEC1,
Polyommatus ripartii,240,Lycaenidae,Polyommatinae,Polyommatus,ripartii,"(Freyer, 1830)",Ripart's Anomalous Blue,,,,
Polyommatus thersites,227,Lycaenidae,Polyommatinae,Polyommatus,thersites,"(Cantener, 1835)",Chapman's Blue,,,,
Polyommatus timfristos,248,Lycaenidae,Polyommatinae,Polyommatus,timfristos,"Lukhtanov, Vishnevskaya & Shapoval, 2016",,suggestion: Timfristos Anomalous Blue,,,
Polyommatus violetae,243,Lycaenidae,Polyommatinae,Polyommatus,violetae,"(Gómez-Bustillo, Expósito & Martínez, 1979)",Andalusian Anomalous Blue,,,SPEC1,
Pontia callidice,89,Pieridae,Pierinae,Pontia,callidice,"(Hübner, 1800)",Peak White,,,,
Pontia chloridice,88,Pieridae,Pierinae,Pontia,chloridice,"(Hübner, 1813)",Small Bath White,,,,
Pontia daplidice,91,Pieridae,Pierinae,Pontia,daplidice,"(Linnaeus, 1758)",Bath White,,,,
Pontia edusa,90,Pieridae,Pierinae,Pontia,edusa,"(Fabricius, 1777)",Eastern Bath White,,,,
Praephilotes anthracias,174,Lycaenidae,Polyommatinae,Praephilotes,anthracias,"(Christoph, 1877)",suggestion:,,,,EoR
Proterebia phegea,425,Nymphalidae,Satyrinae,Proterebia,phegea,"(Borkhausen, 1788)",Dalmatian Ringlet,,,,
Pseudochazara amalthea,417,Nymphalidae,Satyrinae,Pseudochazara,amalthea,"(Frivaldszky, 1845)",,,,,
Pseudochazara amymone,415,Nymphalidae,Satyrinae,Pseudochazara,amymone,"Brown, 1976",Brown's Grayling,,,SPEC1,
Pseudochazara anthelea,416,Nymphalidae,Satyrinae,Pseudochazara,anthelea,"(Hübner, 1824)",White-banded Grayling,,,,
Pseudochazara cingovskii,421,Nymphalidae,Satyrinae,Pseudochazara,cingovskii,"(Gross, 1973)",Macedonian Grayling,,,SPEC1,
Pseudochazara euxina,419,Nymphalidae,Satyrinae,Pseudochazara,euxina,"(Kuznetsov, 1909)",,,,SPEC1,
Pseudochazara geyeri,413,Nymphalidae,Satyrinae,Pseudochazara,geyeri,"(Herrich-Schäffer, 1846)",Gray Asian Grayling,,,,
Pseudochazara graeca,414,Nymphalidae,Satyrinae,Pseudochazara,graeca,"(Staudinger, 1870)",Grecian Grayling,,,,
