region_code,citation_type,citation,citation_full,citation_url
ES,red_list,Verdú et al. (2011),"Verdú, J.R., Numa, C., Galante, E., 2011. Atlas y Libro Rojo de los Invertebrados amenazados de España (Especies Vulnerables). Dirección General de Medio Natural y Política Forestal, Ministerio de Medio Ambiente, Medio rural y Marino, Madrid.",
AL,species_list,Verovnik and Popović (2013),"Verovnik, R., Popović, M., 2013. Annotated checklist of Albanian butterflies (Lepidoptera, Papilionoidea and Hesperioidea). Zookeys 323, 75-89.",https://doi.org/10.3897/zookeys.323.5684
SI,red_list,Verovnik et al. (2012),"Verovnik, R., Rebeušek, F., Jež, M., 2012. Atlas dnevnih metuljev (Lepidoptera: Rhopalocera) Slovenije, Atlas of butterflies (Lepidoptera: Rhopalocera) of Slovenia. Center za kartografijo favne in flore, Miklavž na Dravskem polju.",
SI,species_list,Verovnik et al. (2012),"Verovnik, R., Rebeušek, F., Jež, M., 2012. Atlas dnevnih metuljev (Lepidoptera: Rhopalocera) Slovenije, Atlas of butterflies (Lepidoptera: Rhopalocera) of Slovenia. Center za kartografijo favne in flore, Miklavž na Dravskem polju.",
MA_AZ,species_list,Vieira and Karsholt (2010),"Vieira, V., Karsholt, O., 2010. Lepidoptera, In A list of the terrestrial and marine biota from the Azores. eds P.A.V. Borges, A. Costa, R. Cunha, R. Gabriel, V. Gonçalves, A.F. Martins, I. Melo, M. Parente, P. Raposeiro, P. Rodrigues, R.S. Santos, L. Silva, P. Vieira, V. Vieira, pp. 188-192. Princípia, Cascais.",
RO,red_list,Vlad Dincă (pers. comm.),,
CH,red_list,Wermeille et al. (2014),"Wermeille, E., Chittaro, Y., Gonseth, Y., 2014. Liste rouge Papillons diurnes et Zygènes. Papilionoidea, Hesperioidea et Zygaenidae. Espèces menacées en Suisse, état 2012. Office fédéral de l’environnement (OFEV) du Département fédéral de l’environnement, des transports, de l’énergie et de la communication (DETEC)/Centre Suisse de Cartographie de la Faune (CSCF), Berne/Neuchâtel.",
CH,species_list,Wermeille et al. (2014),"Wermeille, E., Chittaro, Y., Gonseth, Y., 2014. Liste rouge Papillons diurnes et Zygènes. Papilionoidea, Hesperioidea et Zygaenidae. Espèces menacées en Suisse, état 2012. Office fédéral de l’environnement (OFEV) du Département fédéral de l’environnement, des transports, de l’énergie et de la communication (DETEC)/Centre Suisse de Cartographie de la Faune (CSCF), Berne/Neuchâtel.",
EUR,species_list,Wiemers et al. (2018),"Wiemers, M., Balletto, E., Dincă, V., Fric, Z.F., Lamas, G., Lukhtanov, V.A., Munguira, M.L., van Swaay, C.A.M., Vila, R., Vliegenhart, A., Wahlberg, N., Verovnik, R., 2018. An updated checklist of the European Butterflies (Lepidoptera: Papilionoidea). ZooKeys 811, 9-45.",https://doi.org/10.3897/zookeys.811.28712
RO,species_list,Wiemers et al. (2018),"Wiemers, M., Balletto, E., Dincă, V., Fric, Z.F., Lamas, G., Lukhtanov, V.A., Munguira, M.L., van Swaay, C.A.M., Vila, R., Vliegenhart, A., Wahlberg, N., Verovnik, R., 2018. An updated checklist of the European Butterflies (Lepidoptera: Papilionoidea). ZooKeys 811, 9-45.",https://doi.org/10.3897/zookeys.811.28712
DK,red_list,Wind and Pihl (2004),"Wind, P., Pihl, S., 2004. The Danish Red List. The National Environmental Research Institute, Aarhus University.",
AT,red_list,Zulka et al. (2003),"Zulka, K.P., Eder, E., Höttinger, H., Weigand, E., 2003. Threat descriptors and extinction risk - the Austrian Red List concept, In The harmonization of Red Lists for threatened species in Europe. Proceedings of an international Seminar 27 and 28 November 2002. eds H.H. de Iongh, O.S. Bánki, W. Bergmans, M.J. van der Werff ten Bosch, pp. 103-110. The Netherlands Commission for International Nature Protection, Leiden.",
